Scene: 001_Castle_Large.blend
OBJ: Castle_01 | TYPE: MESH | PARENT: CastleGround_01
OBJ: CastleLilFountain_01 | TYPE: MESH | PARENT: CastleGround_01
OBJ: CastleMarket_01 | TYPE: MESH | PARENT: CastleRoads_01
OBJ: CastleMarket_02 | TYPE: MESH | PARENT: CastleGround_01
OBJ: CastleMarket_03 | TYPE: MESH | PARENT: CastlePlanks_02
OBJ: CastlePiano_01 | TYPE: MESH | PARENT: CastleGround_01
OBJ: CastlePlanks_02 | TYPE: MESH | PARENT: CastleGround_03
OBJ: CastleProp_01 | TYPE: MESH | PARENT: CastleGround_01
OBJ: CastleProp_02 | TYPE: MESH | PARENT: CastleGround_01
OBJ: CastleRoads_01 | TYPE: MESH | PARENT: CastleGround_01
OBJ: CastleRoads_02 | TYPE: MESH | PARENT: CastleRoads_01
OBJ: CastleRoads_03 | TYPE: MESH | PARENT: CastleRoads_01
OBJ: CastleRock_01 | TYPE: MESH | PARENT: CastleRoads_01
OBJ: CastleRock_02 | TYPE: MESH | PARENT: CastleRoads_01
OBJ: CastleRock_03 | TYPE: MESH | PARENT: CastleRoads_01
OBJ: CastleRock_04 | TYPE: MESH | PARENT: CastleRoads_01
OBJ: CastleRock_05 | TYPE: MESH | PARENT: CastleRoads_01
OBJ: CastleRock_06 | TYPE: MESH | PARENT: CastleRoads_01
OBJ: CastleRock_07 | TYPE: MESH | PARENT: CastleRoads_01
OBJ: CastleRock_08 | TYPE: MESH | PARENT: CastleRoads_01
OBJ: CastleRock_09 | TYPE: MESH | PARENT: CastleRoads_01
OBJ: CastleStairs_01 | TYPE: MESH | PARENT: Castle_01
OBJ: CastleStone_02 | TYPE: MESH | PARENT: CastleMarket_02
OBJ: CastleTable_01 | TYPE: MESH | PARENT: CastlePlanks_02
OBJ: CastleTorch_01 | TYPE: MESH | PARENT: Castle_01
OBJ: CastleTower_01 | TYPE: MESH | PARENT: Castle_01
OBJ: CastleTowerHouse_01 | TYPE: MESH | PARENT: CastleGround_01
OBJ: CastleTree_01 | TYPE: MESH | PARENT: CastleGround_01
OBJ: CastleTree_02 | TYPE: MESH | PARENT: CastleGround_01
OBJ: CastleTree_03 | TYPE: MESH | PARENT: CastleGround_01
OBJ: CastleTree_04 | TYPE: MESH | PARENT: CastleGround_01
OBJ: CastleVegetation_01 | TYPE: MESH | PARENT: CastleGround_01
OBJ: Castlewall_01 | TYPE: MESH | PARENT: CastleStairs_01
